Pot ID,Rep,Ovary present,Stamen present,Anthers present,# of tepals,Size,Notes
ME.45.1,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.45.1,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NY.34.1,1,1,0,0,5,> 3,"stamen structures obvious, but not fully developed"
NY.34.1,2,1,0,0,5,> 3,"stamen structures obvious, but not fully developed"
NY.34.1,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NY.34.1,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NY.34.1,5,1,0,0,5,> 3,"stamen structures obvious, but not fully developed"
ME.50.1,1,2,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.50.1,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.50.1,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.50.1,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.50.1,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.43.1,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.43.1,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.43.1,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.43.1,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.43.1,5,4a,0,0, < 3,3,"stamen structures obvious, but not fully developed"
NH.43.1,6,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.38.5,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.38.5,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.38.5,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.38.5,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.38.5,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.47.3,1,1,0,0,3,< 3,"2 tepals in ethanol; clearly broken off; stamen strutures obvious, but not fully developed"
ME.47.3,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.47.3,3,1,0,0,6,< 3,ovary thin/deformed; stamen structures obvious but not fully developed
ME.47.3,4,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.47.3,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.47.5,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.47.5,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.47.5,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.47.5,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.47.5,5,2,0,0,5,3,"ovary floating in ethanol solution; stamen structures obvious, but not fully developed"
MD.22.2,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.22.2,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.22.2,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.22.2,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.22.2,5,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.5,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.39.5,2,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.5,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.39.5,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.39.5,5,2,0,0,5,3,"ovary floating in ethanol solution; stamen structures obvious, but not fully developed"
MA.36.2,1,4b,1,1,5,> 3,
MA.36.2,2,4b,1,1,5,3,
MA.36.2,3,4b,1,1,5,3,
MA.36.2,4,4b,1,1,5,> 3,
MA.36.2,5,4b,1,1,5,> 3,
MA.37.1,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.1,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.1,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.1,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.1,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.42.1,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.42.1,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.1,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.1,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.42.1,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.38.2,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.38.2,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.38.2,3,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.38.2,4,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.38.2,5,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.42.5,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.42.5,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.42.5,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.42.5,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.42.5,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NY.33.1,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NY.33.1,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NY.33.1,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NY.33.1,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NY.33.1,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
GA.1.1,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
GA.1.1,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
GA.1.1,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
GA.1.1,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
GA.1.1,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.4.3,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.4.3,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.4.3,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.4.3,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.4.3,5,4a,0,0,6,3,"stamen structures obvious, but not fully developed"
PA.28.5,1,4c,1,1,5,3,
PA.28.5,2,4c,1,1,5,3,
PA.28.5,3,4c,1,1,5,3,
PA.28.5,4,4b,1,1,5,3,
PA.28.5,5,4c,1,1,5,3,
VA.12.5,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.12.5,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.12.5,3,1,0,0,5,> 3,"stamen structures obvious, but not fully developed"
VA.12.5,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.12.5,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
PA.24.3,1,4c,1,1,5,3,
PA.24.3,2,4b,1,1,5,3,
PA.24.3,3,4b,1,1,5,3,
PA.24.3,4,4c,1,1,5,3,
PA.24.3,5,4b,1,1,5,3,
NJ.29.3,1,4b,1,1,5,3,
NJ.29.3,2,4b,1,1,5,3,
NJ.29.3,3,4c,1,1,5,> 3,
NJ.29.3,4,4b,1,1,5,> 3,
NJ.29.3,5,4c,1,1,5,> 3,
PA.25.3,1,4a,0,0,6,> 3,"stamen structures obvious, but not fully developed; abnormal tepal structures"
PA.25.3,2,4a,0,0,7,3,"stamen structures obvious, but not fully developed"
PA.25.3,3,4a,0,0,6,3,"stamen structures obvious, but not fully developed"
PA.25.3,4,4a,0,0,6,3,"stamen structures obvious, but not fully developed"
PA.25.3,5,4a,0,0,6,3,"stamen structures obvious, but not fully developed"
NH.43.3,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.43.3,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.43.3,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.43.3,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.43.3,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.37.4,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.4,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.4,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.37.4,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.4,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.39.3,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.39.3,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.39.3,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.39.3,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.3,5,1,0,0,5,> 3,"stamen structures obvious, but not fully developed"
VT.40.4,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.40.4,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.40.4,3,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.40.4,4,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.40.4,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.2,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.2,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.2,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.2,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.2,5,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.2,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.2,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.2,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.2,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.2,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
PA.28.3,1,4b,1,1,5,> 3,
PA.28.3,2,4b,1,1,5,> 3,
PA.28.3,3,4b,1,1,5,3,
PA.28.3,4,4b,1,1,5,> 3,
PA.28.3,5,4b,1,1,5,> 3,
NC.8.5,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NC.8.5,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.8.5,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.8.5,4,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NC.8.5,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.19.5,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.19.5,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.19.5,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.19.5,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.19.5,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.8.1,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.8.1,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.8.1,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.8.1,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NC.8.1,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
PA.28.4,1,4c,1,1,5,> 3,two stamen stunted
PA.28.4,2,4c,1,1,5,> 3,
PA.28.4,3,4b,1,1,5,> 3,
PA.28.4,4,4c,1,1,5,> 3,
PA.28.4,5,4b,1,1,5,> 3,
ME.49.4,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.49.4,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.49.4,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.49.4,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.49.4,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.40.5,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.40.5,2,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.40.5,3,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.40.5,4,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.40.5,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.41.3,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.41.3,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.41.3,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.41.3,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.41.3,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.41.5,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.41.5,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.41.5,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.41.5,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.20.3,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.20.3,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.20.3,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.20.3,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.20.3,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.38.3,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.38.3,2,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.38.3,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.38.3,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.38.3,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.49.2,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.49.2,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.49.2,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.49.2,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.49.2,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NY.32.5,1,4b,1,1,5,> 3,
NY.32.5,2,4b,1,1,5,> 3,
NY.32.5,3,4b,1,1,5,> 3,
NY.32.5,4,4b,1,1,5,> 3,
NY.32.5,5,4b,1,0,5,3,
VT.40.3,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.40.3,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.40.3,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.40.3,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.40.3,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.43.4,1,4b,1,1,5,> 3,
NH.43.4,2,4b,1,1,5,> 3,
NH.43.4,3,4b,1,1,5,> 3,
NH.43.4,4,4b,1,1,5,> 3,
NH.43.4,5,4b,1,1,5,> 3,
NH.43.4,6,4b,1,1,5,3,
NH.43.4,7,4b,1,1,5,3,
ME.46.4,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.46.4,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.46.4,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.46.4,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.46.4,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.47.4,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.47.4,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.47.4,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
ME.47.4,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.47.4,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.50.4,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.50.4,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.50.4,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.50.4,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
ME.50.4,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.3,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.3,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.3,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.42.3,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.3,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.42.4,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.4,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.4,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.4,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VT.42.4,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.44.4,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.44.4,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.44.4,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.44.4,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.44.4,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.20.1,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.20.1,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.20.1,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.20.1,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.20.1,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.44.1,1,4a,0,0,4,< 3,"stamen structures obvious, but not fully developed"
NH.44.1,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.44.1,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.44.1,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.44.1,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
PA.28.1,1,4c,1,1,5,> 3,
PA.28.1,2,4b,1,1,5,3,
PA.28.1,3,4c,1,1,5,> 3,
PA.28.1,4,4b,1,1,5,> 3,
PA.28.1,5,4b,1,1,5,> 3,
PA.27.5,1,4b,1,1,5,> 3,
PA.27.5,2,4c,1,1,5,3,
PA.27.5,3,4b,1,1,5,> 3,
PA.27.5,4,4b,1,1,5,3,
PA.27.5,5,4b,1,1,5,> 3,
PA.27.4,1,4b,1,1,5,> 3,
PA.27.4,2,4b,1,1,5,> 3,
PA.27.4,3,4b,1,1,5,> 3,
PA.27.4,4,4b,1,1,5,3,
PA.27.4,5,4b,1,1,5,> 3,
VA.18.5,1,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.18.5,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.18.5,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.18.5,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.18.5,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.17.5,1,4b,1,1,5,> 3,
VA.17.5,2,4b,1,1,5,> 3,
VA.17.5,3,4b,1,1,5,> 3,
VA.17.5,4,4b,1,1,3,> 3,two tepals broken and floating in the ethanol solution
VA.17.5,5,4b,1,1,5,> 3,
MA.37.2,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
MA.37.2,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.2,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.2,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.2,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.2,6,1,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.44.2,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
NH.44.2,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.44.2,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.44.2,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
NH.44.2,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
PA.23.4,1,4b,1,1,5,> 3,
PA.23.4,2,4b,1,1,5,3,
PA.23.4,3,4b,1,1,5,> 3,
PA.23.4,4,4b,1,1,5,> 3,
PA.23.4,5,4b,1,1,5,> 3,
VT.39.1,1,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.1,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.1,3,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VT.39.1,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
